Lat,Lon,pr
41.73326,-94.982666,3.218524695207728
41.736633,-94.867096,3.212099686193291
41.739845,-94.751526,3.1993786016940704
41.742905,-94.635925,3.2021557949168797
41.745808,-94.520325,3.235121135696564
41.748558,-94.40469,3.2605615969655637
41.751156,-94.28906,3.25602717447171
41.753593,-94.17343,3.259105225910188
41.755882,-94.05777,3.280040947428108
41.758015,-93.94211,3.282050853087501
41.75999,-93.82645,3.292873258458078
41.76182,-93.710754,3.307819390285655
41.763485,-93.59509,3.306103290908978
41.765,-93.47937,3.313982923076302
41.76636,-93.36368,3.35690824937432
41.767567,-93.247986,3.3950140459411795
41.76862,-93.13226,3.4169333537782975
41.769516,-93.01654,3.407965991645833
41.77026,-92.90082,3.424360826147312
41.770847,-92.785126,3.423841711735894
41.77128,-92.6694,3.3985180766248777
41.771557,-92.55368,3.3766958127032134
41.77168,-92.43796,3.376410728074012
41.771652,-92.322235,3.3856396237743778
41.771465,-92.20654,3.41092762861016
41.77113,-92.09079,3.415193963087346
41.770634,-91.97507,3.423355407565327
41.769985,-91.859344,3.419510870934361
41.76918,-91.74365,3.430093278459561
41.76822,-91.62793,3.4484796934968656
41.76711,-91.51221,3.45550984227957
41.76584,-91.396515,3.444426305141269
41.764423,-91.28082,3.4603140322052233
41.76284,-91.16513,3.4541739119738564
41.76111,-91.04944,3.415890312149663
41.759235,-90.93378,3.372705943603246
41.75719,-90.818115,3.375308498574258
41.755,-90.70245,3.4003119846525296
41.75265,-90.58679,3.415763630479541
41.75015,-90.47116,3.4417047517877517
41.74749,-90.35553,3.4567847663603337
41.744675,-90.23993,3.4796587435459707
41.741714,-90.12433,3.4667061610922336
41.738594,-90.00873,3.492504539403454
41.73532,-89.89313,3.508180052186493
41.73189,-89.77759,3.515044688934373
41.72831,-89.66205,3.497618828188248
41.72457,-89.54651,3.4861270828562896
41.72068,-89.43097,3.480956659645889
41.716637,-89.31549,3.481738556278095
41.712437,-89.20001,3.4853183463090214
41.708088,-89.08453,3.5091312271738535
41.70358,-88.969086,3.5430892253342696
41.69892,-88.85367,3.557358698399277
41.694107,-88.73828,3.5561388296043606
41.689133,-88.62286,3.5553279541872267
41.684017,-88.50751,3.5732111719781505
41.67874,-88.39215,3.5985156375463863
41.67331,-88.276825,3.6229488771039144
41.667732,-88.16153,3.6240225378711943
41.66199,-88.046265,3.6298261865571875
41.656105,-87.931,3.592765116682973
41.65006,-87.815796,3.5851341394305436
41.643856,-87.70056,3.5872441776123196
41.637512,-87.58539,3.5938931756725414
41.631004,-87.470245,3.59510781820449
41.62435,-87.35513,3.5343556077626475
41.61754,-87.24005,3.54911733657233
41.61058,-87.12497,3.632765545215333
41.603462,-87.00995,3.7619699349537883
41.59619,-86.89493,3.794831898395357
41.58877,-86.77997,3.7495685510193604
41.581192,-86.66501,3.7273666848489224
41.573467,-86.55011,3.706134544895007
41.56559,-86.43524,3.6985992493806066
41.55756,-86.320404,3.6997623296989457
41.549374,-86.20557,3.690653573188287
41.54103,-86.09079,3.659268857211656
41.532547,-85.97604,3.639421887338879
41.523907,-85.86136,3.6511566352139164
41.515102,-85.74667,3.642525317840798
41.506165,-85.63205,3.631060313619533
41.497066,-85.517426,3.5994397299290983
41.487812,-85.40289,3.5993100650299086
41.478413,-85.28833,3.58741209074666
41.46886,-85.17389,3.5795624407391857
41.459156,-85.05945,3.5771323784994844
41.449295,-84.94504,3.550109364503347
41.439293,-84.83066,3.5364896880195564
41.429127,-84.71634,3.5556686887197944
41.41882,-84.60208,3.5561265929282913
41.408356,-84.487854,3.5617479394804845
41.39774,-84.37366,3.555224351359528
41.38698,-84.25952,3.538544993198551
41.376064,-84.14542,3.514559822374627
41.364998,-84.03134,3.5018190900373782
41.353783,-83.91733,3.518057702291328
41.342407,-83.803345,3.5234069565001835
41.330894,-83.68945,3.5493346271282817
41.319225,-83.57559,3.5603713895694082
41.30741,-83.46176,3.568075066018381
41.29544,-83.34796,3.5806833521963735
41.28332,-83.23425,3.5757340441022336
41.27105,-83.120575,3.6135323261782024
41.25863,-83.00696,3.6826761235623744
41.246063,-82.89337,3.702855599727332
41.233353,-82.77985,3.696457099741709
41.220478,-82.66638,3.7281372533004182
41.20746,-82.55295,3.7654590247855335
41.194298,-82.439575,3.762830678046824
41.18098,-82.32626,3.7415323345431157
41.167522,-82.21301,3.7676172590803616
41.153904,-82.09982,3.8941204819046424
41.14015,-81.986664,4.0150727389439735
41.12623,-81.873566,4.072415536728791
41.112175,-81.76056,4.111364259746646
41.09797,-81.64758,4.1555284447286756
41.083614,-81.53464,4.212827704776125
41.06911,-81.42178,4.178928530035174
41.054462,-81.30899,4.131806361981305
41.03967,-81.19623,4.071707845065818
41.02472,-81.08356,4.070861001096762
41.009617,-80.97092,4.132185270238993
40.994385,-80.85837,4.141304803252566
40.978992,-80.74585,4.081632598155741
40.963455,-80.63342,4.08957590629763
40.947773,-80.52103,4.1345014999343075
40.931946,-80.40872,4.2662570966838045
40.915966,-80.29645,4.445267251247903
40.899845,-80.184296,4.503781380757964
40.883575,-80.07214,4.468850508524869
40.867165,-79.96008,4.46353126391476
40.8506,-79.848114,4.449607462165938
40.833893,-79.736176,4.416176019096545
40.817036,-79.6243,4.400020375108091
40.80004,-79.51251,4.473251106519192
40.7829,-79.40079,4.552271661735966
40.765606,-79.28912,4.5460214027518075
40.748177,-79.17755,4.556968387953463
40.730587,-79.06601,4.601873304383862
40.712864,-78.95459,4.571946106676557
40.69499,-78.8432,4.418912990733837
40.676983,-78.73187,4.26748442222351
